element;excel_kpi;statut_bim
"répartition mia";"G.6/G.8/G.10 + ORIAS à confirmer";"BIM mixte · actifs/rétro OK, productifs/ORIAS à créer"
"carte de france";"G.6/G.8/G.10 · axe agence/région";"BIM partiel · dim_agence OK, productifs à créer"
"nombre mandataires actifs par agence";"G.6 · axe agence";"BIM OK · dim_agence + _Indicateurs[Nombre mandataires actifs]"
"petit tableau réseau";"G.6/G.8/G.10 + rétrocommission";"BIM mixte · actifs/rétro OK, productifs à créer"
"raison sociale";"Axe organisation";"BIM OK · dim_agence[raison_sociale]"
"nombre de mia commissionnés";"G.10 · Mandataires rétrocommissionnés";"BIM OK · _Indicateurs[Nombre mandataires rétrocommissionnés]"
"taux mandataires actifs";"Calcul à créer · G.6/(G.6+G.7)";"BIM à créer · actifs/inactifs déjà présents"
"taux rdv visio / domicile";"G.18/G.19 · taux visio/domicile";"BIM OK · taux visio + taux domicile"
"taux rendez-vous réalisés en visioconférence";"G.18 · Taux RDV réalisés en visio";"BIM OK · _Indicateurs[Taux rendez vous réalisés en visioconférence]"
"taux rendez-vous faits à domicile";"G.19 · Taux RDV faits à domicile";"BIM OK · _Indicateurs[Taux rendez-vous faits à domicile]"
"nombre de rendez-vous réalisés en visioconférence";"G.20 · Nombre RDV réalisés en visio";"BIM OK · _Indicateurs[Nombre rendez-vous réalisés en visioconférence]"
"nombre de rendez-vous faits à domicile";"G.21 · Nombre RDV faits à domicile";"BIM OK · _Indicateurs[Nombre rendez-vous réalisés à domicile]"
"taux réalisation rdv";"G.13 · Taux réalisation RDV";"BIM OK · _Indicateurs[Taux réalisation de rendez-vous]"
"nombre rendez-vous prévus vs réalisés";"G.14/G.15 · RDV prévus/réalisés";"BIM OK · mesures RDV prévues/réalisées"
"nombre rendez-vous prévus";"G.14 · Nombre rendez-vous prévus";"BIM OK · _Indicateurs[Nombre rendez-vous prévus]"
"nombre rendez-vous réalisés";"G.15 · Nombre rendez-vous réalisés";"BIM OK · _Indicateurs[Nombre rendez-vous réalisés]"
"nombre rdv confirmés";"À créer · statut RDV confirmé";"BIM absent direct · statut confirmé à modéliser"
"répartition des rendez-vous réalisés";"G.15 · RDV réalisés par type/canal/statut";"BIM OK partiel · RDV réalisés + dims type/canal"
"détail rendez-vous";"G.14/G.15 · détail type RDV";"BIM OK partiel · fact_rendez_vous_client + dim_type_rendez_vous_client"
"nombre de rdv hebdomadaire moyen";"G.12 · RDV hebdomadaire moyen";"BIM à créer · dérivable depuis RDV + date"
"r1";"G.14/G.15 · RDV par type";"BIM OK partiel · dim_type_rendez_vous_client"
"taux de transformation des prospects";"G.16 · Taux transformation prospects";"BIM absent direct · parcours candidat ≠ prospects OAV"
"pourcentage du patrimoine capté";"G.22 · Patrimoine capté";"BIM absent · patrimoine OAV à intégrer"
"patrimoine exploitable";"G.23 · Patrimoine exploitable";"BIM absent · patrimoine OAV à intégrer"
"patrimoine contractualisé";"G.24 · Patrimoine contractualisé";"BIM absent · patrimoine OAV à intégrer"
"nombre de produits détenus";"G.25 · Produits détenus par client";"BIM absent · hors périmètre"
"date du dernier rdv";"G.26 · Dernier RDV par client";"BIM absent direct · hors périmètre"
"glossaire";"G.1–G.26 · définitions Excel";"BIM OK · table glossaire_indicateurs"
"agence";"Axes d’analyse Excel";"BIM partiel · dim_agence/dim_mandataire disponibles"
"per";"Axe produit/gamme à confirmer";"BIM absent · dimension produit/gamme non trouvée"
"répartition des rdv par csp";"À créer · CSP non explicite Excel";"BIM absent · dimension CSP non trouvée"
"performance";"G.3/G.6/G.8/G.10 selon visuel";"BIM partiel · RDV/réseau OK, affaires absentes"
